選手,打率,本塁打,打点,安打,盗塁,出塁率,OPS
赤星 優志,0.233,0,2,7,0,0.303,0.536
秋広 優人,0.143,0,0,1,0,0.25,0.393
浅野 翔吾,0.187,2,8,14,1,0.244,0.564
荒巻 悠,0.296,1,1,16,0,0.377,0.747
石川 達也,0.286,0,1,2,0,0.286,0.572
石塚 裕惺,0.111,0,0,1,0,0.111,0.222
泉口 友汰,0.301,6,39,154,4,0.362,0.755
泉 圭輔,0,0,0,0,0,0,0
井上 温大,0.069,0,1,2,0,0.069,0.138
浦田 俊輔,0.208,0,4,11,0,0.263,0.508
オコエ 瑠偉,0.246,0,5,31,3,0.291,0.601
大城 卓三,0.187,3,10,17,0,0.242,0.561
岡田 悠希,0.167,0,2,3,0,0.211,0.433
岡本 和真,0.327,15,49,82,1,0.416,1.014
乙坂 智,0.2,0,0,1,0,0.2,0.6
甲斐 拓也,0.26,4,20,58,3,0.327,0.659
門脇 誠,0.223,0,4,35,6,0.274,0.548
キャベッジ,0.267,17,51,115,5,0.331,0.781
菊地 大稀,0,0,0,0,0,0,0
岸田 行倫,0.293,8,39,78,0,0.355,0.772
グリフィン,0.158,0,0,3,0,0.2,0.358
ケラー,0,0,0,0,0,0,0
郡 拓也,0,0,0,0,0,0,0
小林 誠司,0.143,0,1,3,0,0.25,0.44
坂本 勇人,0.208,3,22,32,0,0.272,0.603
佐々木 俊輔,0.248,0,10,35,1,0.298,0.589
笹原 操希,0.1,0,0,2,0,0.182,0.282
重信 慎之介,0.333,0,0,1,1,0.333,0.666
鈴木 大和,0,0,0,0,0,0,0
大勢,0,0,0,0,0,0,0
高梨 雄平,0,0,0,0,0,0,0
田中 瑛斗,0,0,0,0,0,0,0
田中 将大,0.154,0,0,2,0,0.154,0.385
長野 久義,0.136,0,0,3,0,0.208,0.344
戸郷 翔征,0.107,0,0,3,0,0.107,0.214
戸田 懐生,0,0,0,0,0,0,0
中川 皓太,0,0,0,0,0,0,0
中山 礼都,0.265,7,32,76,1,0.319,0.702
西舘 勇陽,0,0,0,0,0,0,0
バルドナード,0,0,0,0,0,0,0
萩尾 匡也,0.174,0,0,4,1,0.208,0.382
馬場 皐輔,0,0,0,0,0,0,0
フルプ,0,0,0,0,0,0,0
船迫 大雅,0,0,0,0,0,0,0
ヘルナンデス,0.211,2,8,32,0,0.298,0.601
平内 龍太,0,0,0,0,0,0,0
堀田 賢慎,0.4,0,0,2,0,0.4,0.8
マルティネス,0,0,0,0,0,0,0
増田 大輝,0.136,0,0,3,3,0.136,0.318
増田 陸,0.231,5,21,61,0,0.272,0.598
又木 鉄平,0,0,0,0,0,0,0
丸 佳浩,0.267,6,26,87,5,0.345,0.744
三塚 琉生,0,0,0,0,0,0,0
宮原 駿介,0,0,0,0,0,0,0
森田 駿哉,0.111,0,0,1,0,0.2,0.311
山﨑 伊織,0.13,0,3,6,0,0.149,0.323
山瀬 慎之助,0.25,0,2,1,0,0.25,0.5
山田 龍聖,0,0,0,0,0,0,0
湯浅 大,0,0,0,0,0,0,0
横川 凱,0,0,0,0,0,0,0
吉川 尚輝,0.277,3,32,112,8,0.349,0.7
リチャード,0.211,11,39,49,1,0.269,0.653
若林 楽人,0.241,3,16,52,9,0.304,0.651
